OrganismID,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,LifeStage,CommonName,Classification,Organism
115,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Pseudochydorus,globosus,Pseudochydorus globosus,Species,undifferentiated,Pseudochydorus globosus,Cladocera,Pseudochydorus globosus
116,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Paracyclops,chiltoni,Paracyclops chiltoni,Species,adult,Paracyclops chiltoni,Cyclopoids,Paracyclops chiltoni
118,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Ectocyclops,phaleratus,Ectocyclops phaleratus,Species,adult,Ectocyclops phaleratus,Cyclopoids,Ectocyclops phaleratus
119,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Paracyclops,fimbriatus,Paracyclops fimbriatus,Species,adult,Paracyclops fimbriatus,Cyclopoids,Paracyclops fimbriatus
120,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,NA,Acanthocyclops sp.,Genus,adult,Acanthocyclops sp.,Cyclopoids,Acanthocyclops sp.
121,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,agilis,Eucyclops agilis,Species,adult,Eucyclops agilis,Cyclopoids,Eucyclops agilis
122,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Paracyclops,poppei,Paracyclops poppei,Species,adult,Paracyclops poppei,Cyclopoids,Paracyclops poppei
123,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Pseudochydorus,NA,Pseudochydorus sp.,Genus,undifferentiated,Pseudochydorus sp.,Cladocera,Pseudochydorus sp.
124,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,adult,Calanoid,Calanoids,Calanoid adult
125,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Macrocyclops,albidus,Macrocyclops albidus,Species,adult,Macrocyclops albidus,Cyclopoids,Macrocyclops albidus
126,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Hesperodiaptomus,cf. californiensis,Hesperodiaptomus cf. californiensis,Species,adult,Hesperodiaptomus cf. californiensis,Calanoids,Hesperodiaptomus cf. californiensis
127,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Tropocyclops,NA,Tropocyclops sp.,Genus,adult,Tropocyclops sp.,Cyclopoids,Tropocyclops sp.
128,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Ergasilidae,Ergasilus,NA,Ergasilus sp.,Genus,adult,Ergasilus sp.,Cyclopoids,Ergasilus sp.
129,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Diaptomus,dorsalis,Diaptomus dorsalis,Species,adult,Diaptomus dorsalis,Calanoids,Diaptomus dorsalis
130,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Diaptomus,siciloides,Diaptomus siciloides,Species,adult,Diaptomus siciloides,Calanoids,Diaptomus siciloides
131,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Tropocyclops,prasinus,Tropocyclops prasinus,Species,adult,Tropocyclops prasinus,Cyclopoids,Tropocyclops prasinus
132,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Anchistropus,NA,Anchistropus sp.,Species,undifferentiated,Anchistropus sp.,Cladocera,Anchistropus sp.
133,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,Cyclopida,NA,NA,Lernaeidae,Lernaea,NA,Lernaea sp.,Species,undifferentiated,Lernaea sp.,Cyclopoids,Lernaea sp.
